,score,idle_production_time,idle_worker_time,total_value_units,total_value_structures,killed_value_units,killed_value_structures,collected_minerals,collected_vespene,collection_rate_minerals,collection_rate_vespene,spent_minerals,spent_vespene,number_roaches,result,race,difficulty
1,1100,17,0,700,300,0,0,0,0,0,0,50,0,32,1,zerg,hard
2,1125,37,0,700,300,0,0,25,0,221,0,50,0,32,1,zerg,hard
3,1160,54,0,700,300,0,0,60,0,347,0,100,0,32,1,zerg,hard
4,1220,69,0,750,300,0,0,120,0,671,0,100,0,32,1,zerg,hard
5,1250,84,0,750,300,0,0,150,0,699,0,100,0,32,1,zerg,hard
6,1260,102,0,800,300,0,0,185,0,699,0,225,0,32,1,zerg,hard
7,1340,116,0,800,300,0,0,240,0,671,0,275,0,32,1,zerg,hard
8,1380,126,0,800,300,0,0,280,0,727,0,275,0,32,1,zerg,hard
9,1420,136,0,800,300,0,0,320,0,755,0,275,0,32,1,zerg,hard
10,1460,151,0,800,300,0,0,360,0,671,0,275,0,32,1,zerg,hard
11,1505,166,0,950,300,0,0,405,0,699,0,325,0,32,1,zerg,hard
12,1550,171,0,950,300,0,0,450,0,727,0,425,0,32,1,zerg,hard
13,1595,176,0,950,325,0,0,495,0,727,0,425,0,32,1,zerg,hard
14,1629,181,0,950,325,0,0,525,4,671,22,425,0,32,1,zerg,hard
15,1687,186,0,1050,325,0,0,575,12,699,67,475,0,32,1,zerg,hard
16,1730,191,0,1100,325,0,0,610,20,671,111,475,0,32,1,zerg,hard
17,1593,196,0,1100,325,0,0,665,28,783,134,675,0,32,1,zerg,hard
18,1842,201,0,1100,325,0,0,710,32,755,111,725,0,32,1,zerg,hard
19,1890,206,0,1150,325,0,0,750,40,783,111,725,0,32,1,zerg,hard
20,1953,211,0,1150,325,0,0,805,48,783,111,725,0,32,1,zerg,hard
21,2001,216,0,1150,325,0,0,845,56,727,134,775,0,32,1,zerg,hard
22,2059,221,0,1200,325,0,0,895,64,811,134,775,0,32,1,zerg,hard
23,2127,226,0,1200,325,0,0,955,72,839,134,775,0,32,1,zerg,hard
24,2180,231,0,1200,325,0,0,1000,80,895,134,825,0,32,1,zerg,hard
25,2229,236,0,1250,325,0,0,1045,84,839,111,825,0,32,1,zerg,hard
26,1987,241,0,1250,325,0,0,1095,92,755,111,1125,0,32,1,zerg,hard
27,2015,246,0,1250,325,0,0,1140,100,783,111,1150,0,32,1,zerg,hard
28,2108,252,0,1300,325,0,0,1200,108,867,134,1200,0,32,1,zerg,hard
29,2452,257,0,1300,325,0,0,1240,112,839,111,1200,0,32,1,zerg,hard
30,2510,262,0,1300,325,0,0,1290,120,839,111,1250,0,32,1,zerg,hard
31,2578,269,0,1350,525,0,0,1350,128,839,111,1250,0,32,1,zerg,hard
32,2481,279,0,1350,525,0,0,1395,136,867,134,1400,0,32,1,zerg,hard
33,2689,289,0,1350,525,0,0,1445,144,867,134,1450,0,32,1,zerg,hard
34,2737,299,0,1400,550,0,0,1485,152,755,134,1450,0,32,1,zerg,hard
35,2808,309,0,1400,550,0,0,1540,168,811,179,1450,0,32,1,zerg,hard
36,2865,319,0,1400,550,0,0,1585,180,783,201,1500,0,32,1,zerg,hard
37,2921,329,0,1450,550,0,0,1625,196,783,246,1500,0,32,1,zerg,hard
38,3002,339,0,1450,550,0,0,1690,212,839,246,1500,0,32,1,zerg,hard
39,3069,349,0,1450,550,0,0,1745,224,895,246,1550,0,32,1,zerg,hard
40,3121,359,0,1500,550,0,0,1785,236,895,223,1550,0,32,1,zerg,hard
41,2902,369,0,1500,550,0,0,1850,252,895,223,1850,0,32,1,zerg,hard
42,3268,379,0,1500,550,0,0,1900,268,867,246,1900,0,32,1,zerg,hard
43,3330,389,0,1550,550,0,0,1950,280,923,246,1900,0,32,1,zerg,hard
44,3406,401,0,1550,700,0,0,2010,296,895,246,1900,0,32,1,zerg,hard
45,3472,417,0,1550,700,0,0,2060,312,895,246,1900,0,32,1,zerg,hard
46,3543,437,0,1600,700,0,0,2115,328,923,268,1900,0,32,1,zerg,hard
47,3620,457,0,1600,700,0,0,2180,340,923,246,1900,0,32,1,zerg,hard
48,3686,477,0,1600,700,0,0,2230,356,951,246,1900,0,32,1,zerg,hard
49,3757,501,0,1600,1000,0,0,2285,372,951,246,2050,0,32,1,zerg,hard
50,3829,521,0,1600,1000,0,0,2345,384,951,246,2050,0,32,1,zerg,hard
51,3906,542,0,1600,1000,0,0,2410,396,979,223,2050,0,32,1,zerg,hard
52,3977,565,0,1750,1000,0,0,2465,412,1007,223,2200,0,32,1,zerg,hard
53,4048,585,5,1750,1000,0,0,2520,428,979,246,2200,0,32,1,zerg,hard
54,4125,605,10,1750,1000,0,0,2585,440,1007,246,2300,0,32,1,zerg,hard
55,4196,625,15,1750,1000,0,0,2640,456,979,246,2375,25,32,1,zerg,hard
56,4272,645,23,1900,1000,0,0,2700,472,1007,246,2375,25,32,1,zerg,hard
57,4353,665,33,1900,1000,0,0,2765,488,1007,268,2450,50,32,1,zerg,hard
58,4440,686,43,1900,1000,0,0,2840,500,1091,246,2525,75,32,1,zerg,hard
59,4506,706,53,2000,1000,0,0,2890,516,1063,246,2525,75,32,1,zerg,hard
60,4582,726,63,2100,1000,0,0,2950,532,1035,246,2525,75,32,1,zerg,hard
61,4669,749,73,2100,1000,0,0,3025,544,1063,246,2625,75,32,1,zerg,hard
62,4741,773,83,2100,1300,0,0,3085,556,1091,223,2775,125,32,1,zerg,hard
63,4812,798,93,2300,1300,0,0,3140,572,1063,223,2850,150,32,1,zerg,hard
64,4893,824,103,2300,1300,0,0,3205,588,1007,246,2925,175,32,1,zerg,hard
65,4980,850,113,2400,1300,0,0,3280,600,1091,246,3000,200,32,1,zerg,hard
66,5056,875,123,2400,1300,0,0,3340,616,1119,246,3000,200,32,1,zerg,hard
67,5127,906,133,2600,1300,0,0,3395,632,1063,246,3150,250,32,1,zerg,hard
68,5208,931,143,2600,1300,0,0,3460,648,1007,268,3250,250,32,1,zerg,hard
69,5295,957,153,2800,1300,0,0,3535,660,1063,246,3250,250,32,1,zerg,hard
70,5371,985,163,2800,1300,0,0,3595,676,1063,246,3325,275,32,1,zerg,hard
71,5437,1011,173,2900,1300,0,0,3645,692,1035,246,3475,325,32,1,zerg,hard
72,5519,1036,183,2900,1300,0,0,3715,704,1035,246,3475,325,32,1,zerg,hard
73,5601,1062,193,3200,1300,0,0,3785,716,1119,223,3650,350,32,1,zerg,hard
74,5672,1087,203,3200,1300,0,0,3840,732,1063,223,3725,375,32,1,zerg,hard
75,5753,1112,213,3300,1300,0,0,3905,748,1063,246,3725,375,32,1,zerg,hard
76,5830,1140,223,3500,1300,0,0,3970,760,1035,246,3875,425,32,1,zerg,hard
77,5906,1166,233,3500,1300,0,0,4030,776,1091,246,3950,450,32,1,zerg,hard
78,5987,1192,243,3700,1300,0,0,4095,792,1035,246,3950,450,32,1,zerg,hard
79,6068,1222,253,3800,1300,0,0,4160,808,1063,268,4125,475,32,1,zerg,hard
80,6145,1249,263,3800,1300,0,0,4225,820,1091,246,4125,475,32,1,zerg,hard
81,6221,1277,273,4000,1300,0,0,4285,836,1091,246,4275,525,32,1,zerg,hard
82,6292,1305,283,4000,1300,0,0,4340,852,1007,246,4350,550,32,1,zerg,hard
83,6369,1332,293,4100,1300,0,0,4405,864,1007,246,4350,550,32,1,zerg,hard
84,6456,1363,303,4200,1300,0,0,4480,876,1091,223,4350,550,32,1,zerg,hard
85,6532,1397,313,4300,1300,0,0,4540,892,1119,223,4525,575,32,1,zerg,hard
86,6603,1429,323,4400,1300,0,0,4595,908,1063,246,4525,575,32,1,zerg,hard
87,6680,1465,333,4500,1300,0,0,4660,920,1007,246,4525,575,32,1,zerg,hard
88,6766,1508,343,4600,1300,0,0,4730,936,1063,246,4525,575,32,1,zerg,hard
89,6852,1551,353,4600,1300,0,0,4800,952,1147,246,4600,600,32,1,zerg,hard
90,6918,1597,363,4700,1300,0,0,4850,968,1063,268,4600,600,32,1,zerg,hard
91,6995,1648,373,4800,1300,0,0,4915,980,1035,246,4675,625,32,1,zerg,hard
92,7081,1697,383,4800,1300,0,0,4985,996,1007,246,4750,650,32,1,zerg,hard
93,7167,1747,393,4800,1300,0,0,5055,1012,1091,246,4750,650,32,1,zerg,hard
94,7229,1799,403,4900,1300,0,0,5105,1024,1063,246,4925,675,32,1,zerg,hard
95,7306,1849,413,4900,1300,0,0,5170,1036,1063,223,4925,675,32,1,zerg,hard
96,7382,1899,423,5000,1300,0,0,5230,1052,1035,223,5000,700,32,1,zerg,hard
97,7463,1954,433,5100,1300,0,0,5295,1068,1035,246,5000,700,32,1,zerg,hard
98,7535,2012,443,5100,1300,0,0,5355,1080,1035,246,5075,725,32,1,zerg,hard
99,7621,2066,453,5300,1300,0,0,5425,1096,1091,246,5150,750,32,1,zerg,hard
100,7702,2114,463,5300,1300,0,0,5490,1112,1119,246,5325,775,32,1,zerg,hard
101,7768,2164,473,5300,1300,0,0,5540,1128,1035,268,5325,775,32,1,zerg,hard
102,7850,2214,483,5400,1300,0,0,5610,1140,1035,246,5325,775,32,1,zerg,hard
103,7936,2268,493,5500,1300,0,0,5680,1156,1063,246,5475,825,32,1,zerg,hard
104,8017,2323,503,5600,1300,0,0,5745,1172,1147,246,5475,825,32,1,zerg,hard
105,8079,2375,513,5800,1300,0,0,5795,1184,1035,246,5550,850,32,1,zerg,hard
106,8156,2433,523,5800,1300,0,0,5860,1196,1007,223,5550,850,32,1,zerg,hard
107,8237,2492,533,5800,1300,0,0,5925,1212,1007,223,5650,850,32,1,zerg,hard
108,8328,2550,543,6000,1300,0,0,6000,1228,1147,246,5650,850,32,1,zerg,hard
109,8390,2615,553,6000,1300,0,0,6050,1240,1063,246,5650,850,32,1,zerg,hard
110,8471,2680,563,6100,1300,0,0,6115,1256,1063,246,5650,850,32,1,zerg,hard
111,8552,2748,571,6100,1300,0,0,6180,1272,1007,246,5650,850,32,1,zerg,hard
112,8638,2818,581,6200,1300,0,0,6250,1288,1119,268,5650,850,32,1,zerg,hard
113,8700,2888,591,6200,1300,50,0,6300,1300,1035,246,5725,875,32,1,zerg,hard
114,8791,2953,601,6200,1300,50,0,6375,1316,1091,246,5725,875,32,1,zerg,hard
115,8867,3018,611,6200,1300,100,100,6435,1332,1035,246,5725,875,32,1,zerg,hard
116,8939,3083,621,6200,1300,100,500,6495,1344,1063,246,5725,875,32,1,zerg,hard
117,9016,3153,631,6200,1300,200,500,6560,1356,1035,223,5800,900,32,1,zerg,hard
118,8892,3218,641,6200,1300,250,575,6620,1372,1035,223,5800,900,32,1,zerg,hard
119,8558,3283,651,6300,1300,250,575,6670,1388,1007,246,5800,900,32,1,zerg,hard
120,8620,3348,661,6300,1300,250,575,6720,1400,867,246,5800,900,32,1,zerg,hard
121,8686,3418,671,6300,1300,400,575,6770,1416,839,246,5800,900,32,1,zerg,hard
122,8652,3488,681,6300,1300,675,575,6820,1432,839,246,5800,900,32,1,zerg,hard
123,8523,3558,691,6400,1300,1100,575,6875,1448,895,268,5800,900,32,1,zerg,hard
124,8275,3627,701,6400,1300,1325,575,6915,1460,811,246,5875,925,32,1,zerg,hard
125,7931,3688,711,6400,1300,1600,575,6955,1476,755,246,5950,950,32,1,zerg,hard
126,7492,3744,721,6400,1300,1825,575,7000,1492,699,246,6100,1000,32,1,zerg,hard
127,7154,3790,731,6400,1300,1925,575,7050,1504,755,246,6325,1075,32,1,zerg,hard
128,7211,3823,741,6400,1300,1925,575,7095,1516,727,223,6475,1125,32,1,zerg,hard
