,score,idle_production_time,idle_worker_time,total_value_units,total_value_structures,killed_value_units,killed_value_structures,collected_minerals,collected_vespene,collection_rate_minerals,collection_rate_vespene,spent_minerals,spent_vespene,number_roaches,result,race,difficulty
1,1100,17,0,700,300,0,0,0,0,0,0,50,0,34,-1,terran,hard
2,1125,37,0,700,300,0,0,25,0,176,0,50,0,34,-1,terran,hard
3,1160,54,0,700,300,0,0,60,0,347,0,100,0,34,-1,terran,hard
4,1220,69,0,750,300,0,0,120,0,671,0,100,0,34,-1,terran,hard
5,1250,84,0,750,300,0,0,150,0,727,0,100,0,34,-1,terran,hard
6,1260,102,0,800,300,0,0,185,0,699,0,225,0,34,-1,terran,hard
7,1335,116,0,800,300,0,0,235,0,643,0,275,0,34,-1,terran,hard
8,1370,126,0,800,300,0,0,270,0,671,0,275,0,34,-1,terran,hard
9,1420,137,0,800,300,0,0,320,0,755,0,275,0,34,-1,terran,hard
10,1470,152,0,800,300,0,0,370,0,755,0,275,0,34,-1,terran,hard
11,1510,166,0,950,300,0,0,410,0,783,0,325,0,34,-1,terran,hard
12,1550,175,0,950,300,0,0,450,0,727,0,375,0,34,-1,terran,hard
13,1595,182,0,950,325,0,0,495,0,699,0,425,0,34,-1,terran,hard
14,1630,187,0,950,325,0,0,530,0,671,0,425,0,34,-1,terran,hard
15,1683,192,0,1000,325,0,0,575,8,699,44,425,0,34,-1,terran,hard
16,1726,197,0,1100,325,0,0,610,16,643,89,475,0,34,-1,terran,hard
17,1584,202,0,1100,325,0,0,660,24,727,134,675,0,34,-1,terran,hard
18,1842,207,0,1100,325,0,0,710,32,755,134,725,0,34,-1,terran,hard
19,1890,212,0,1150,325,0,0,750,40,783,134,725,0,34,-1,terran,hard
20,1949,217,0,1150,325,0,0,805,44,783,111,725,0,34,-1,terran,hard
21,2002,222,0,1150,325,0,0,850,52,783,111,775,0,34,-1,terran,hard
22,2065,227,0,1200,325,0,0,905,60,867,111,775,0,34,-1,terran,hard
23,2128,232,0,1200,325,0,0,960,68,895,134,775,0,34,-1,terran,hard
24,2177,237,0,1200,325,0,0,1005,72,839,111,825,0,34,-1,terran,hard
25,2240,242,0,1250,325,0,0,1060,80,867,111,825,0,34,-1,terran,hard
26,1993,247,0,1250,325,0,0,1105,88,811,111,1125,0,34,-1,terran,hard
27,2001,253,0,1250,325,0,0,1155,96,867,134,1175,0,34,-1,terran,hard
28,2109,259,4,1300,325,0,0,1205,104,783,134,1200,0,34,-1,terran,hard
29,2452,264,9,1300,325,0,0,1240,112,755,134,1200,0,34,-1,terran,hard
30,2510,269,14,1300,325,0,0,1290,120,755,134,1250,0,34,-1,terran,hard
31,2574,277,19,1350,525,0,0,1350,124,839,111,1250,0,34,-1,terran,hard
32,2472,287,24,1350,525,0,0,1390,132,839,111,1400,0,34,-1,terran,hard
33,2675,298,29,1350,525,0,0,1435,140,811,111,1400,0,34,-1,terran,hard
34,2728,309,34,1400,550,0,0,1480,148,727,134,1450,0,34,-1,terran,hard
35,2780,319,39,1400,550,0,0,1520,160,727,156,1450,0,34,-1,terran,hard
36,2846,329,44,1400,550,0,0,1570,176,755,201,1500,0,34,-1,terran,hard
37,2897,339,49,1450,550,0,0,1605,192,699,246,1500,0,34,-1,terran,hard
38,2959,349,54,1450,550,0,0,1655,204,755,246,1500,0,34,-1,terran,hard
39,3020,359,59,1450,550,0,0,1700,220,727,246,1500,0,34,-1,terran,hard
40,3096,370,64,1500,550,0,0,1760,236,839,246,1550,0,34,-1,terran,hard
41,3157,380,69,1500,550,0,0,1805,252,839,268,1550,0,34,-1,terran,hard
42,2909,390,74,1500,550,0,0,1845,264,811,246,1850,0,34,-1,terran,hard
43,3276,402,79,1550,550,0,0,1900,276,811,223,1900,0,34,-1,terran,hard
44,3342,415,84,1550,700,0,0,1950,292,811,223,1900,0,34,-1,terran,hard
45,3403,430,89,1550,700,0,0,1995,308,839,246,1900,0,34,-1,terran,hard
46,3465,450,94,1600,700,0,0,2045,320,783,246,1900,0,34,-1,terran,hard
47,3541,470,99,1600,700,0,0,2105,336,867,246,1900,0,34,-1,terran,hard
48,3617,491,104,1600,700,0,0,2165,352,923,246,1900,0,34,-1,terran,hard
49,3679,515,109,1600,1000,0,0,2215,364,951,246,2050,0,34,-1,terran,hard
