,score,idle_production_time,idle_worker_time,total_value_units,total_value_structures,killed_value_units,killed_value_structures,collected_minerals,collected_vespene,collection_rate_minerals,collection_rate_vespene,spent_minerals,spent_vespene,number_roaches,result,race,difficulty
1,1100,17,0,700,300,0,0,0,0,0,0,50,0,9,0,protoss,hard
2,1125,37,0,700,300,0,0,25,0,176,0,50,0,9,0,protoss,hard
3,1160,54,0,700,300,0,0,60,0,347,0,100,0,9,0,protoss,hard
4,1220,69,0,750,300,0,0,120,0,671,0,100,0,9,0,protoss,hard
5,1250,84,0,750,300,0,0,150,0,727,0,100,0,9,0,protoss,hard
6,1260,102,0,800,300,0,0,185,0,699,0,225,0,9,0,protoss,hard
7,1335,116,0,800,300,0,0,235,0,643,0,275,0,9,0,protoss,hard
8,1375,126,0,800,300,0,0,275,0,699,0,275,0,9,0,protoss,hard
9,1420,136,0,800,300,0,0,320,0,755,0,275,0,9,0,protoss,hard
10,1470,151,0,800,300,0,0,370,0,755,0,275,0,9,0,protoss,hard
11,1510,166,0,950,300,0,0,410,0,755,0,325,0,9,0,protoss,hard
12,1550,171,0,950,300,0,0,450,0,727,0,375,0,9,0,protoss,hard
13,1605,178,0,950,325,0,0,505,0,755,0,425,0,9,0,protoss,hard
14,1644,183,0,950,325,0,0,540,4,727,22,425,0,9,0,protoss,hard
15,1687,188,0,1050,325,0,0,575,12,699,67,425,0,9,0,protoss,hard
16,1540,198,0,1100,325,0,0,620,20,643,111,625,0,9,0,protoss,hard
17,1798,204,0,1100,325,0,0,670,28,699,134,675,0,9,0,protoss,hard
18,1842,210,0,1100,325,0,0,710,32,755,111,675,0,9,0,protoss,hard
19,1880,216,0,1100,325,0,0,740,40,671,111,725,0,9,0,protoss,hard
20,1943,221,0,1150,325,0,0,795,48,727,111,725,0,9,0,protoss,hard
21,1996,226,0,1150,325,0,0,840,56,727,134,725,0,9,0,protoss,hard
22,2049,232,0,1200,325,0,0,885,64,811,134,775,0,9,0,protoss,hard
23,2107,237,0,1200,325,0,0,935,72,783,134,775,0,9,0,protoss,hard
24,2161,242,0,1200,325,0,0,985,76,811,111,775,0,9,0,protoss,hard
25,2214,247,0,1250,325,0,0,1030,84,811,111,825,0,9,0,protoss,hard
26,1982,252,0,1250,325,0,0,1090,92,867,111,1125,0,9,0,protoss,hard
27,2005,258,0,1250,325,0,0,1130,100,811,134,1150,0,9,0,protoss,hard
28,2093,267,1,1300,325,0,0,1185,108,867,134,1200,0,9,0,protoss,hard
29,2437,272,6,1300,325,0,0,1225,112,755,111,1200,0,9,0,protoss,hard
30,2500,282,11,1300,525,0,0,1280,120,839,111,1250,0,9,0,protoss,hard
31,2553,292,16,1300,525,0,0,1325,128,783,111,1250,0,9,0,protoss,hard
32,2461,302,21,1350,525,0,0,1375,136,839,134,1400,0,9,0,protoss,hard
33,2679,312,26,1350,525,0,0,1435,144,867,134,1450,0,9,0,protoss,hard
34,2737,322,29,1400,550,0,0,1485,152,895,134,1450,0,9,0,protoss,hard
35,2784,332,29,1400,550,0,0,1520,164,811,156,1450,0,9,0,protoss,hard
36,2855,342,29,1400,550,0,0,1575,180,783,201,1500,0,9,0,protoss,hard
37,2922,352,29,1450,550,0,0,1630,192,783,223,1500,0,9,0,protoss,hard
38,2978,362,29,1450,550,0,0,1670,208,839,246,1500,0,9,0,protoss,hard
39,3049,372,29,1450,550,0,0,1725,224,839,246,1500,0,9,0,protoss,hard
40,3116,382,29,1500,550,0,0,1780,236,867,246,1550,0,9,0,protoss,hard
41,2872,392,29,1500,550,0,0,1820,252,839,246,1850,0,9,0,protoss,hard
42,3244,403,29,1500,550,0,0,1880,264,867,223,1850,0,9,0,protoss,hard
43,3310,414,29,1550,550,0,0,1930,280,839,246,1900,0,9,0,protoss,hard
44,3376,426,29,1550,700,0,0,1980,296,895,246,1900,0,9,0,protoss,hard
45,3457,442,29,1550,700,0,0,2045,312,923,268,1900,0,9,0,protoss,hard
46,3519,462,29,1600,700,0,0,2095,324,923,246,1900,0,9,0,protoss,hard
47,3590,482,29,1600,700,0,0,2150,340,951,246,1900,0,9,0,protoss,hard
48,3676,502,29,1600,700,0,0,2220,356,979,246,1900,0,9,0,protoss,hard
49,3738,529,29,1600,1000,0,0,2270,368,979,246,1900,0,9,0,protoss,hard
50,3799,564,29,1600,1000,0,0,2315,384,923,246,1900,0,9,0,protoss,hard
51,3876,593,29,1600,1000,0,0,2380,396,895,223,2000,0,9,0,protoss,hard
52,3947,615,29,1600,1000,0,0,2435,412,923,246,2200,0,9,0,protoss,hard
53,4019,635,29,1600,1000,0,0,2495,424,1007,223,2200,0,9,0,protoss,hard
54,4100,655,29,1650,1000,0,0,2560,440,1007,246,2200,0,9,0,protoss,hard
55,4171,681,31,1800,1000,0,0,2615,456,1007,246,2200,0,9,0,protoss,hard
56,4247,706,36,1800,1000,0,0,2675,472,1007,268,2375,25,9,0,protoss,hard
57,4329,726,41,1900,1000,0,0,2745,484,1035,246,2375,25,9,0,protoss,hard
58,4405,752,46,1900,1000,0,0,2805,500,1063,246,2375,25,9,0,protoss,hard
59,4481,779,51,1900,1000,0,0,2865,516,1063,246,2450,50,9,0,protoss,hard
60,4563,805,56,1900,1000,0,0,2935,528,1035,246,2450,50,9,0,protoss,hard
61,4639,834,61,2100,1000,0,0,2995,544,1063,246,2525,75,9,0,protoss,hard
62,4716,859,66,2100,1300,0,0,3060,556,1091,223,2700,100,9,0,protoss,hard
63,4797,884,71,2100,1300,0,0,3125,572,1091,246,2775,125,9,0,protoss,hard
64,4869,912,76,2200,1300,0,0,3185,584,1063,223,2925,175,9,0,protoss,hard
65,4955,937,81,2200,1300,0,0,3255,600,1091,246,2925,175,9,0,protoss,hard
66,5041,963,86,2200,1300,0,0,3325,616,1119,246,3000,200,9,0,protoss,hard
67,5112,994,91,2400,1300,0,0,3380,632,1091,268,3075,225,9,0,protoss,hard
68,5194,1019,96,2600,1300,0,0,3450,644,1091,246,3150,250,9,0,protoss,hard
69,5280,1045,101,2700,1300,0,0,3520,660,1091,246,3250,250,9,0,protoss,hard
70,5361,1070,106,2800,1300,0,0,3585,676,1147,246,3400,300,9,0,protoss,hard
71,5428,1095,111,2900,1300,0,0,3640,688,1063,246,3400,300,9,0,protoss,hard
72,5519,1120,116,2900,1300,0,0,3715,704,1091,246,3550,350,9,0,protoss,hard
73,5596,1146,121,3100,1300,50,0,3780,716,1091,223,3550,350,9,0,protoss,hard
74,5682,1176,126,3200,1300,50,0,3850,732,1175,246,3550,350,9,0,protoss,hard
75,5649,1211,131,3300,1300,150,0,3905,744,1063,223,3625,375,9,0,protoss,hard
76,5640,1247,136,3400,1300,250,0,3980,760,1091,246,3625,375,9,0,protoss,hard
77,5721,1284,141,3500,1300,425,0,4045,776,1063,246,3700,400,9,0,protoss,hard
78,5802,1324,146,3600,1300,425,0,4110,792,1147,268,3700,400,9,0,protoss,hard
79,5874,1361,151,3600,1300,475,0,4170,804,1091,246,3875,425,9,0,protoss,hard
80,5955,1396,156,3600,1300,475,0,4235,820,1091,246,4025,475,9,0,protoss,hard
81,6041,1432,161,3700,1300,475,0,4305,836,1091,246,4025,475,9,0,protoss,hard
82,6113,1472,166,3800,1300,525,0,4365,848,1091,246,4025,475,9,0,protoss,hard
