,score,idle_production_time,idle_worker_time,total_value_units,total_value_structures,killed_value_units,killed_value_structures,collected_minerals,collected_vespene,collection_rate_minerals,collection_rate_vespene,spent_minerals,spent_vespene,number_roaches,result,race,difficulty
1,1100,17,0,700,300,0,0,0,0,0,0,50,0,32,-1,protoss,hard
2,1125,37,0,700,300,0,0,25,0,176,0,50,0,32,-1,protoss,hard
3,1160,55,0,700,300,0,0,60,0,347,0,100,0,32,-1,protoss,hard
4,1220,70,0,750,300,0,0,120,0,671,0,100,0,32,-1,protoss,hard
5,1250,85,0,750,300,0,0,150,0,727,0,100,0,32,-1,protoss,hard
6,1260,102,0,800,300,0,0,185,0,699,0,125,0,32,-1,protoss,hard
7,1335,122,0,800,300,0,0,235,0,643,0,175,0,32,-1,protoss,hard
8,1375,137,0,800,300,0,0,275,0,699,0,175,0,32,-1,protoss,hard
9,1415,152,0,800,300,0,0,315,0,727,0,175,0,32,-1,protoss,hard
10,1265,167,0,800,300,0,0,365,0,727,0,375,0,32,-1,protoss,hard
11,1505,184,0,850,300,0,0,405,0,727,0,425,0,32,-1,protoss,hard
12,1540,199,0,850,300,0,0,440,0,699,0,425,0,32,-1,protoss,hard
13,1585,214,0,850,325,0,0,485,0,671,0,425,0,32,-1,protoss,hard
14,1624,232,0,900,325,0,0,520,4,643,22,425,0,32,-1,protoss,hard
15,1672,252,0,900,325,0,0,560,12,671,67,425,0,32,-1,protoss,hard
16,1720,272,0,900,325,0,0,600,20,643,111,425,0,32,-1,protoss,hard
17,1764,292,0,900,325,0,0,640,24,615,111,425,0,32,-1,protoss,hard
18,1512,312,0,900,325,0,0,680,32,671,111,725,0,32,-1,protoss,hard
19,1550,332,0,900,325,0,0,710,40,615,111,725,0,32,-1,protoss,hard
20,1764,352,0,900,325,0,0,745,44,643,111,550,0,32,-1,protoss,hard
21,1613,372,11,900,325,0,0,765,48,475,89,750,0,32,-1,protoss,hard
22,1937,387,36,900,325,0,0,785,52,419,67,800,0,32,-1,protoss,hard
23,1960,402,61,900,325,0,0,800,60,279,89,800,0,32,-1,protoss,hard
24,1983,416,86,900,525,0,0,815,68,279,111,850,0,32,-1,protoss,hard
25,2007,436,111,950,525,0,0,835,72,279,111,850,0,32,-1,protoss,hard
26,2025,456,136,950,525,0,0,845,80,279,111,850,0,32,-1,protoss,hard
27,2058,476,157,1000,550,0,0,870,88,307,111,850,0,32,-1,protoss,hard
28,2094,501,177,1000,550,0,0,890,104,307,179,850,0,32,-1,protoss,hard
29,2120,526,197,1000,550,0,0,900,120,307,223,850,0,32,-1,protoss,hard
30,2166,551,217,1000,550,0,0,930,136,335,268,850,0,32,-1,protoss,hard
31,2207,576,237,1000,550,0,0,955,152,363,268,850,0,32,-1,protoss,hard
32,2225,601,257,1000,550,0,0,965,160,363,223,850,0,32,-1,protoss,hard
33,2266,626,277,1000,550,0,0,990,176,335,223,850,0,32,-1,protoss,hard
34,2302,651,297,1000,550,0,0,1010,192,307,223,850,0,32,-1,protoss,hard
35,2333,676,317,1000,550,0,0,1025,208,335,268,850,0,32,-1,protoss,hard
36,2370,701,337,1000,550,0,0,1050,220,335,246,850,0,32,-1,protoss,hard
37,2401,726,357,1000,550,0,0,1065,236,307,246,850,0,32,-1,protoss,hard
38,2442,751,377,1000,550,0,0,1090,252,335,246,850,0,32,-1,protoss,hard
39,2474,776,397,1000,550,0,0,1110,264,335,246,850,0,32,-1,protoss,hard
40,2510,801,417,1000,550,0,0,1130,280,363,246,850,0,32,-1,protoss,hard
41,2551,826,437,1000,550,0,0,1155,296,391,246,850,0,32,-1,protoss,hard
42,2582,851,457,1000,850,0,0,1170,312,335,268,850,0,32,-1,protoss,hard
43,2614,877,477,1000,850,0,0,1190,324,307,246,1050,0,32,-1,protoss,hard
44,2655,892,497,1000,850,0,0,1215,340,335,246,1050,0,32,-1,protoss,hard
45,2691,907,517,1000,850,0,0,1235,356,363,246,1050,0,32,-1,protoss,hard
46,2713,924,537,1100,850,0,0,1245,368,335,246,1150,0,32,-1,protoss,hard
47,2755,939,561,1200,850,0,0,1275,380,307,223,1150,0,32,-1,protoss,hard
48,2796,954,586,1200,850,0,0,1300,396,363,223,1150,0,32,-1,protoss,hard
49,2842,979,613,1300,850,0,0,1330,412,475,246,1150,0,32,-1,protoss,hard
50,2888,1004,643,1300,850,0,0,1360,428,503,268,1150,0,32,-1,protoss,hard
51,2944,1029,673,1300,850,0,0,1400,444,559,268,1150,0,32,-1,protoss,hard
52,2985,1064,703,1300,850,0,0,1425,460,531,268,1150,0,32,-1,protoss,hard
53,3037,1099,733,1300,850,0,0,1465,472,587,246,1150,0,32,-1,protoss,hard
54,3079,1134,763,1300,850,0,0,1495,484,531,223,1150,0,32,-1,protoss,hard
55,3130,1179,793,1300,850,0,0,1530,500,559,223,1150,0,32,-1,protoss,hard
56,3181,1224,823,1300,850,0,0,1565,516,559,246,1150,0,32,-1,protoss,hard
