,score,idle_production_time,idle_worker_time,total_value_units,total_value_structures,killed_value_units,killed_value_structures,collected_minerals,collected_vespene,collection_rate_minerals,collection_rate_vespene,spent_minerals,spent_vespene,number_roaches,result,race,difficulty
1,1100,17,0,700,300,0,0,0,0,0,0,50,0,24,1,protoss,hard
2,1125,37,0,700,300,0,0,25,0,176,0,50,0,24,1,protoss,hard
3,1160,54,0,700,300,0,0,60,0,347,0,100,0,24,1,protoss,hard
4,1220,69,0,750,300,0,0,120,0,671,0,100,0,24,1,protoss,hard
5,1250,84,0,750,300,0,0,150,0,727,0,100,0,24,1,protoss,hard
6,1260,102,0,800,300,0,0,185,0,699,0,225,0,24,1,protoss,hard
7,1335,116,0,800,300,0,0,235,0,643,0,275,0,24,1,protoss,hard
8,1375,126,0,800,300,0,0,275,0,699,0,275,0,24,1,protoss,hard
9,1415,137,0,800,300,0,0,315,0,727,0,275,0,24,1,protoss,hard
10,1470,152,0,800,300,0,0,370,0,755,0,275,0,24,1,protoss,hard
11,1510,166,0,950,300,0,0,410,0,755,0,325,0,24,1,protoss,hard
12,1545,172,0,950,300,0,0,445,0,727,0,375,0,24,1,protoss,hard
13,1590,177,0,950,325,0,0,490,0,671,0,425,0,24,1,protoss,hard
14,1639,182,0,950,325,0,0,535,4,699,22,425,0,24,1,protoss,hard
15,1687,188,0,1050,325,0,0,575,12,727,67,425,0,24,1,protoss,hard
16,1530,198,0,1100,325,0,0,610,20,671,111,625,0,24,1,protoss,hard
17,1774,205,0,1100,325,0,0,650,24,643,111,675,0,24,1,protoss,hard
18,1837,210,0,1100,325,0,0,705,32,727,111,675,0,24,1,protoss,hard
19,1880,216,0,1100,325,0,0,740,40,727,111,725,0,24,1,protoss,hard
20,1943,221,0,1150,325,0,0,795,48,811,134,725,0,24,1,protoss,hard
21,1996,227,0,1150,325,0,0,840,56,755,134,725,0,24,1,protoss,hard
22,2054,234,0,1200,325,0,0,890,64,839,134,775,0,24,1,protoss,hard
23,2117,239,0,1200,325,0,0,945,72,839,134,775,0,24,1,protoss,hard
24,2170,244,0,1200,325,0,0,990,80,839,134,775,0,24,1,protoss,hard
25,2238,250,0,1250,325,0,0,1050,88,895,111,825,0,24,1,protoss,hard
26,1997,255,0,1250,325,0,0,1105,92,895,111,1125,0,24,1,protoss,hard
27,2030,261,0,1250,325,0,0,1155,100,923,111,1150,0,24,1,protoss,hard
28,2103,268,1,1300,325,0,0,1195,108,811,134,1200,0,24,1,protoss,hard
29,2461,273,6,1300,325,0,0,1245,116,783,134,1200,0,24,1,protoss,hard
30,2519,281,11,1300,525,0,0,1295,124,783,134,1200,0,24,1,protoss,hard
31,2558,292,16,1350,525,0,0,1330,128,755,111,1250,0,24,1,protoss,hard
32,2476,302,21,1350,525,0,0,1390,136,811,111,1400,0,24,1,protoss,hard
33,2684,312,26,1350,525,0,0,1440,144,755,111,1450,0,24,1,protoss,hard
34,2732,322,31,1400,550,0,0,1480,152,839,134,1450,0,24,1,protoss,hard
35,2788,332,36,1400,550,0,0,1520,168,727,179,1450,0,24,1,protoss,hard
36,2859,342,41,1400,550,0,0,1575,184,811,223,1500,0,24,1,protoss,hard
37,2906,352,46,1450,550,0,0,1610,196,727,246,1500,0,24,1,protoss,hard
38,2977,362,51,1450,550,0,0,1665,212,811,246,1500,0,24,1,protoss,hard
39,3048,372,56,1450,550,0,0,1720,228,811,246,1550,0,24,1,protoss,hard
40,3110,382,61,1500,550,0,0,1770,240,895,246,1550,0,24,1,protoss,hard
41,2861,392,66,1500,550,0,0,1805,256,783,246,1850,0,24,1,protoss,hard
42,2938,403,71,1500,550,0,0,1870,268,839,223,1850,0,24,1,protoss,hard
43,3294,415,76,1550,550,0,0,1910,284,783,246,1900,0,24,1,protoss,hard
44,3360,427,81,1550,700,0,0,1960,300,867,246,1900,0,24,1,protoss,hard
45,3417,442,86,1550,700,0,0,2005,312,755,246,1900,0,24,1,protoss,hard
46,3488,462,91,1600,700,0,0,2060,328,839,246,1900,0,24,1,protoss,hard
47,3559,482,96,1600,700,0,0,2115,344,867,246,1900,0,24,1,protoss,hard
48,3635,503,101,1600,700,0,0,2175,360,951,268,1900,0,24,1,protoss,hard
49,3697,530,106,1600,1000,0,0,2225,372,895,246,1950,0,24,1,protoss,hard
50,3763,554,111,1600,1000,0,0,2275,388,895,246,2050,0,24,1,protoss,hard
51,3834,574,116,1600,1000,0,0,2330,404,867,246,2150,0,24,1,protoss,hard
52,3915,594,121,1600,1000,0,0,2395,420,951,268,2250,0,24,1,protoss,hard
53,3982,614,126,1750,1000,0,0,2450,432,979,246,2250,0,24,1,protoss,hard
54,4044,635,136,1750,1000,0,0,2500,444,951,223,2250,0,24,1,protoss,hard
55,4125,655,146,1750,1000,0,0,2565,460,979,223,2375,25,24,1,protoss,hard
56,4191,675,156,1850,1000,0,0,2615,476,923,246,2375,25,24,1,protoss,hard
57,4267,696,166,1950,1000,0,0,2675,492,979,268,2375,25,24,1,protoss,hard
58,4343,722,176,2000,1000,0,0,2735,508,951,268,2450,50,24,1,protoss,hard
59,4424,746,186,2000,1000,0,0,2800,524,1035,268,2525,75,24,1,protoss,hard
60,4482,766,196,2000,1000,0,0,2850,532,979,223,2525,75,24,1,protoss,hard
61,4563,791,206,2100,1000,0,0,2915,548,1007,223,2625,75,24,1,protoss,hard
62,4639,811,216,2100,1000,0,0,2975,564,979,223,2700,100,24,1,protoss,hard
63,4715,836,226,2100,1300,0,0,3035,580,1035,268,2775,125,24,1,protoss,hard
64,4792,866,236,2200,1300,0,0,3100,592,1035,246,2850,150,24,1,protoss,hard
65,4868,896,246,2300,1300,0,0,3160,608,1007,246,2850,150,24,1,protoss,hard
66,4939,926,256,2400,1300,0,0,3215,624,1007,246,3000,200,24,1,protoss,hard
67,5030,958,266,2500,1300,0,0,3290,640,1063,268,3000,200,24,1,protoss,hard
68,5101,988,276,2600,1300,0,0,3345,656,1063,246,3150,250,24,1,protoss,hard
69,5168,1016,286,2600,1300,0,0,3400,668,1035,246,3250,250,24,1,protoss,hard
70,5249,1047,296,2700,1300,0,0,3465,684,979,246,3325,275,24,1,protoss,hard
71,5331,1072,306,2800,1300,0,0,3535,696,1063,246,3400,300,24,1,protoss,hard
72,5402,1098,316,2900,1300,50,0,3590,712,1035,246,3475,325,24,1,protoss,hard
73,5478,1129,326,3000,1300,50,0,3650,728,1035,246,3475,325,24,1,protoss,hard
74,5555,1161,336,3200,1300,50,0,3715,740,1007,246,3550,350,24,1,protoss,hard
75,5632,1192,346,3200,1300,50,0,3780,752,1091,223,3650,350,24,1,protoss,hard
76,5698,1225,356,3400,1300,50,0,3830,768,1007,223,3800,400,24,1,protoss,hard
77,5784,1250,366,3500,1300,50,0,3900,784,1035,246,3875,425,24,1,protoss,hard
78,5860,1276,376,3500,1300,50,0,3960,800,1007,268,3950,450,24,1,protoss,hard
79,5936,1306,386,3600,1300,50,0,4020,816,1063,268,4050,450,24,1,protoss,hard
80,6012,1336,396,3700,1300,50,0,4080,832,1007,268,4050,450,24,1,protoss,hard
81,6088,1371,406,3800,1300,50,0,4140,848,979,268,4050,450,24,1,protoss,hard
82,6165,1408,416,4000,1300,50,0,4205,860,1035,246,4200,500,24,1,protoss,hard
83,6232,1443,426,4100,1300,50,0,4260,872,1007,223,4200,500,24,1,protoss,hard
84,6318,1477,436,4200,1300,50,0,4330,888,1091,223,4275,525,24,1,protoss,hard
85,6394,1519,446,4200,1300,50,0,4390,904,1035,246,4275,525,24,1,protoss,hard
86,6471,1564,456,4200,1300,50,0,4455,916,1091,246,4275,525,24,1,protoss,hard
87,6552,1610,466,4300,1300,50,0,4520,932,1063,246,4350,550,24,1,protoss,hard
88,6629,1661,476,4400,1300,50,0,4585,944,1063,223,4350,550,24,1,protoss,hard
89,6705,1712,486,4500,1300,50,0,4645,960,1063,246,4450,550,24,1,protoss,hard
90,6791,1766,496,4500,1300,50,0,4715,976,1091,246,4450,550,24,1,protoss,hard
91,6862,1827,506,4500,1300,50,0,4770,992,1063,268,4450,550,24,1,protoss,hard
92,6943,1889,516,4600,1300,50,0,4835,1008,1063,268,4525,575,24,1,protoss,hard
93,7020,1942,526,4600,1300,50,0,4900,1020,1035,246,4675,625,24,1,protoss,hard
94,7101,1994,536,4700,1300,50,0,4965,1036,1091,246,4675,625,24,1,protoss,hard
95,7172,2049,546,4700,1300,50,0,5020,1052,1035,246,4675,625,24,1,protoss,hard
96,7258,2106,556,4700,1300,50,0,5090,1068,1063,268,4750,650,24,1,protoss,hard
97,7331,2161,566,4800,1300,50,0,5155,1076,1063,223,4850,650,24,1,protoss,hard
98,7412,2216,576,5000,1300,50,0,5220,1092,1119,223,4850,650,24,1,protoss,hard
99,7483,2274,586,5000,1300,50,0,5275,1108,1035,223,4850,650,24,1,protoss,hard
100,7569,2335,596,5000,1300,50,0,5345,1124,1063,268,4850,650,24,1,protoss,hard
101,7650,2400,606,5100,1300,50,0,5410,1140,1035,268,4850,650,24,1,protoss,hard
102,7721,2462,616,5200,1300,50,0,5465,1156,1063,268,4925,675,24,1,protoss,hard
103,7798,2523,626,5200,1300,100,0,5530,1168,1035,246,4925,675,24,1,protoss,hard
104,7875,2585,636,5200,1300,100,0,5595,1180,1063,223,5000,700,24,1,protoss,hard
105,7956,2648,646,5200,1300,100,0,5660,1196,1091,223,5000,700,24,1,protoss,hard
106,8027,2710,656,5200,1300,100,0,5715,1212,1035,246,5075,725,24,1,protoss,hard
107,8118,2771,666,5300,1300,100,0,5790,1228,1091,268,5150,750,24,1,protoss,hard
